seed,historical_binding_valid,status,failure_reason,reload_pass,reload_errors,strict_state_gradient,strict_state_pass,metrics,geometry,reference_eigengap,eigenvector_resolved,checkpoint_sha256
215,True,PASS,,True,"{""F_RAW"": 5.683456871501721e-16, ""F_GN"": 3.513490449000872e-13, ""F_star"": 1.7687352854196178e-12}",3.261943795322337e-07,False,"{""fro"": {""error_GN"": 0.26000624995961413, ""error_SO"": 0.004185963257660763, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 4.1289688224816565, ""logR"": 4.1289688224816565, ""relative_GN"": 0.011722836277061032, ""relative_SO"": 0.00018873147064338744, ""reference_resolved"": true}, ""spectral"": {""error_GN"": 0.2059375131819605, ""error_SO"": 0.004160023277750208, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 3.9020521188357966, ""logR"": 3.9020521188357966, ""relative_GN"": 0.00928505276589392, ""relative_SO"": 0.00018756192130536605, ""reference_resolved"": true}}","{""RAW"": {""eigenvalues"": [40.15661318394311, 422.4257439340172], ""weak_eigenvalue_error"": 38.5514866682125, ""weak_angle_degrees"": 7.797192338951373, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 10.519456459115107}, ""GN"": {""eigenvalues"": [1.577692467033871, 22.101527949258582], ""weak_eigenvalue_error"": -0.027434048696741264, ""weak_angle_degrees"": 0.5089954253892749, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 14.00876812881689}, ""SO"": {""eigenvalues"": [1.6055920812030866, 22.125468161629996], ""weak_eigenvalue_error"": 0.00046556547247433855, ""weak_angle_degrees"": 8.90956878366122e-05, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 13.780254910731221}}",20.5161818981597,True,8c8d1edb99599912644eb2157e32173048ba54b38b599512177fa61d9a951346
216,True,PASS,,True,"{""F_RAW"": 3.5845640727613076e-16, ""F_GN"": 1.9449907944615078e-11, ""F_star"": 1.0892309745555808e-11}",8.738256437347896e-08,False,"{""fro"": {""error_GN"": 0.22473280129351944, ""error_SO"": 0.00018650331511490067, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 7.094218411343044, ""logR"": 7.094218411343044, ""relative_GN"": 0.00893789640384688, ""relative_SO"": 7.417463315886062e-06, ""reference_resolved"": true}, ""spectral"": {""error_GN"": 0.20584271337602855, ""error_SO"": 0.00014384762540796642, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 7.266113046391833, ""logR"": 7.266113046391833, ""relative_GN"": 0.00818661466885183, ""relative_SO"": 5.720994738798957e-06, ""reference_resolved"": true}}","{""RAW"": {""eigenvalues"": [30.64819926831214, 334.99638788752975], ""weak_eigenvalue_error"": 27.257222309541188, ""weak_angle_degrees"": 1.6704836353973682, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 10.930377506188105}, ""GN"": {""eigenvalues"": [3.4406718554611153, 24.980066501171308], ""weak_eigenvalue_error"": 0.049694896690161805, ""weak_angle_degrees"": 0.39328245880126655, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 7.260229266421429}, ""SO"": {""eigenvalues"": [3.391095933492437, 24.914248789567495], ""weak_eigenvalue_error"": 0.00011897472148358901, ""weak_angle_degrees"": 6.9360898910140305e-06, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 7.346960769673271}}",21.52312825091214,True,bf7c38619fccf36cce978531dba37777feec21f31e7a6d5a70a88e4e82312749
217,True,PASS,,True,"{""F_RAW"": 2.4428189220266294e-16, ""F_GN"": 1.692583124423257e-11, ""F_star"": 9.97069538780155e-12}",1.6488497786771228e-07,False,"{""fro"": {""error_GN"": 0.10341013708224209, ""error_SO"": 0.0009261154969590638, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 4.715459320190865, ""logR"": 4.715459320190865, ""relative_GN"": 0.005373769341634713, ""relative_SO"": 4.8126143188587194e-05, ""reference_resolved"": true}, ""spectral"": {""error_GN"": 0.08576869055427054, ""error_SO"": 0.0008500800353225878, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 4.614078802669889, ""logR"": 4.614078802669889, ""relative_GN"": 0.00445702106947348, ""relative_SO"": 4.4174915154780604e-05, ""reference_resolved"": true}}","{""RAW"": {""eigenvalues"": [41.39549842605662, 365.58854220521306], ""weak_eigenvalue_error"": 38.3021967590864, ""weak_angle_degrees"": 2.4411624730231436, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 8.83160140850222}, ""GN"": {""eigenvalues"": [3.0623266303341725, 18.99623384600086], ""weak_eigenvalue_error"": -0.03097503663604373, ""weak_angle_degrees"": 0.2510165831837265, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 6.203203034526699}, ""SO"": {""eigenvalues"": [3.0937500642624975, 18.994026547214116], ""weak_eigenvalue_error"": 0.00044839729228129954, ""weak_angle_degrees"": 0.000649590468047712, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 6.139483200864838}}",15.899955700769915,True,fc9655df82edc90bafc770afc7de85f0fb42f9587b6fa863829f13a5ddd5c826
218,True,PASS,,True,"{""F_RAW"": 2.5249583687076655e-16, ""F_GN"": 8.950497665338173e-12, ""F_star"": 6.139404022138155e-12}",3.4690840237530734e-08,False,"{""fro"": {""error_GN"": 0.12152502766058534, ""error_SO"": 0.0005528639861904808, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 5.392763494511713, ""logR"": 5.392763494511713, ""relative_GN"": 0.0059542776218185975, ""relative_SO"": 2.708829386221224e-05, ""reference_resolved"": true}, ""spectral"": {""error_GN"": 0.10532330234579314, ""error_SO"": 0.0005353077402318965, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 5.281948171562049, ""logR"": 5.281948171562049, ""relative_GN"": 0.005160452906582532, ""relative_SO"": 2.6228102637024422e-05, ""reference_resolved"": true}}","{""RAW"": {""eigenvalues"": [36.39608427678739, 354.0900985860592], ""weak_eigenvalue_error"": 33.94832282207612, ""weak_angle_degrees"": 3.6254629067711086, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 9.728796534628588}, ""GN"": {""eigenvalues"": [2.5117091702619168, 20.364388200386436], ""weak_eigenvalue_error"": 0.06394771555064827, ""weak_angle_degrees"": 0.03767312167359777, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 8.107781124302251}, ""SO"": {""eigenvalues"": [2.447900134374652, 20.26292292393303], ""weak_eigenvalue_error"": 0.0001386796633835452, ""weak_angle_degrees"": 4.352571207974415e-05, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 8.277675481687679}}",17.81462662316318,True,e6dd7d077ce517832f88a49005225258903e0fafadc2469760051f5c0f9053ca
219,False,CHECKPOINT_INVALID,historical_invalid_retained,,,,,,,,,
220,True,PASS,,True,"{""F_RAW"": 2.818367644636449e-16, ""F_GN"": 1.4368665335820723e-11, ""F_star"": 2.9447626041429195e-12}",5.8944950746521185e-08,False,"{""fro"": {""error_GN"": 0.20387433338030822, ""error_SO"": 0.00048383557903741145, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 6.043513933902291, ""logR"": 6.043513933902291, ""relative_GN"": 0.00811479677672829, ""relative_SO"": 1.925807595365743e-05, ""reference_resolved"": true}, ""spectral"": {""error_GN"": 0.19543601704434757, ""error_SO"": 0.0003720579410725159, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 6.263938728578923, ""logR"": 6.263938728578923, ""relative_GN"": 0.0077789270227051925, ""relative_SO"": 1.480899792981509e-05, ""reference_resolved"": true}}","{""RAW"": {""eigenvalues"": [23.131359890281885, 318.05852961199565], ""weak_eigenvalue_error"": 20.510249931980958, ""weak_angle_degrees"": 1.1783387144939232, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 13.75010077749993}, ""GN"": {""eigenvalues"": [2.738296167629872, 25.122971386162018], ""weak_eigenvalue_error"": 0.11718620932894552, ""weak_angle_degrees"": 0.1741950055730911, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 9.174672806815915}, ""SO"": {""eigenvalues"": [2.6214196904847302, 24.987045754301544], ""weak_eigenvalue_error"": 0.00030973218380392353, ""weak_angle_degrees"": 1.3226604453452851e-05, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 9.531875359371073}}",22.365564164963686,True,778ac415db51f001d31008c5e49b335049b7ed5b7b0cd369707e32e871e54ebc
221,False,CHECKPOINT_INVALID,historical_invalid_retained,,,,,,,,,
222,True,PASS,,True,"{""F_RAW"": 1.5045328714617706e-16, ""F_GN"": 3.35555426213286e-11, ""F_star"": 1.3847710452146124e-11}",1.0276799130595916e-07,False,"{""fro"": {""error_GN"": 0.322957648600227, ""error_SO"": 0.0003143423072816211, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 6.93479393201919, ""logR"": 6.93479393201919, ""relative_GN"": 0.014529654177992155, ""relative_SO"": 1.4142055585646501e-05, ""reference_resolved"": true}, ""spectral"": {""error_GN"": 0.2651583223408068, ""error_SO"": 0.00027513483535076205, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 6.8708210814958335, ""logR"": 6.8708210814958335, ""relative_GN"": 0.011929300150427792, ""relative_SO"": 1.23781369702559e-05, ""reference_resolved"": true}}","{""RAW"": {""eigenvalues"": [38.638088536837415, 375.83350199239214], ""weak_eigenvalue_error"": 36.4002285362073, ""weak_angle_degrees"": 5.663264648795133, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 9.727021087859297}, ""GN"": {""eigenvalues"": [2.293288690625002, 22.13990137494007], ""weak_eigenvalue_error"": 0.05542868999489059, ""weak_angle_degrees"": 0.6469504470660611, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 9.65421469414135}, ""SO"": {""eigenvalues"": [2.238016567821525, 22.114813448095298], ""weak_eigenvalue_error"": 0.000156567191413437, ""weak_angle_degrees"": 6.687833010707989e-05, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 9.881434197612645}}",19.876682853808596,True,c483cd7a6414a879c231d5e5e76e9c5ec947a68e5b71a07c06766519e6383e46
223,True,PASS,,True,"{""F_RAW"": 2.1027546569727853e-16, ""F_GN"": 2.526312839664531e-12, ""F_star"": 2.6957029339800072e-12}",5.104691750530729e-07,False,"{""fro"": {""error_GN"": 0.8226902516200086, ""error_SO"": 0.0024222160157735015, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 5.827896934692033, ""logR"": 5.827896934692033, ""relative_GN"": 0.045537545974325945, ""relative_SO"": 0.00013407448667445934, ""reference_resolved"": true}, ""spectral"": {""error_GN"": 0.6729607341530496, ""error_SO"": 0.002259774870961197, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 5.696421789741534, ""logR"": 5.696421789741534, ""relative_GN"": 0.03724971860316294, ""relative_SO"": 0.00012508304538115818, ""reference_resolved"": true}}","{""RAW"": {""eigenvalues"": [26.601314092856825, 330.0128665992196], ""weak_eigenvalue_error"": 24.93037021577221, ""weak_angle_degrees"": 3.287510661662373, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 12.40588586891792}, ""GN"": {""eigenvalues"": [1.8596022675651431, 17.999833700875293], ""weak_eigenvalue_error"": 0.18865839048052857, ""weak_angle_degrees"": 1.9992833375852588, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 9.679399737688664}, ""SO"": {""eigenvalues"": [1.6720343288407835, 17.99079904198116], ""weak_eigenvalue_error"": 0.001090451756168953, ""weak_angle_degrees"": 0.0017741876530588411, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 10.759826357425405}}",16.317813747773265,True,ce77f0f0cf55ff149edaec57a449725f020a663ef4971214340d633a848a617e
224,True,PASS,,True,"{""F_RAW"": 2.755430260645403e-16, ""F_GN"": 1.9661834370338905e-11, ""F_star"": 1.2777205829653167e-11}",6.307613025686266e-08,False,"{""fro"": {""error_GN"": 0.4988075478483197, ""error_SO"": 0.0033226920628529766, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 5.011445029042588, ""logR"": 5.011445029042588, ""relative_GN"": 0.02837110583126476, ""relative_SO"": 0.00018898761369298868, ""reference_resolved"": true}, ""spectral"": {""error_GN"": 0.4817547781433528, ""error_SO"": 0.0031967868247795234, ""strict_SO_win"": true, ""strict_GN_win"": false, ""logR_floor"": 5.015289037464294, ""logR"": 5.015289037464294, ""relative_GN"": 0.027401180784815942, ""relative_SO"": 0.00018182639319923075, ""reference_resolved"": true}}","{""RAW"": {""eigenvalues"": [23.122701393984514, 271.9225924160756], ""weak_eigenvalue_error"": 21.176167191269148, ""weak_angle_degrees"": 0.8453413676610869, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 11.759983739911013}, ""GN"": {""eigenvalues"": [2.1280691810997405, 17.644355206429644], ""weak_eigenvalue_error"": 0.18153497838437538, ""weak_angle_degrees"": 1.1277334091312619, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 8.291250755913593}, ""SO"": {""eigenvalues"": [1.9475524560279491, 17.476530819863513], ""weak_eigenvalue_error"": 0.0010182533125839832, ""weak_angle_degrees"": 0.001824692658953048, ""signature"": [1.0, 1.0], ""SPD"": true, ""SPD_condition"": 8.973586701488419}}",15.52691208333713,True,55015a890291669fc24c3486ff3902cf88e460eba8a49e892f940822b82016c0
