center_id,pde,numerical_judged_pass,true_relative_error_posthoc,true_pass_at_10pct,quadrant,adaptive_status,adaptive_A_matvec_count,adaptive_absolute_error,adaptive_final_U_absolute,adaptive_final_relative_status,mu_source,bound_status,dense_assisted,oracle_spectral_used,relative_error_criterion
allen_cahn_75,allen_cahn,True,0.000470185516882544,True,Q1_bound_pass_truth_pass,numerical_tolerance_met,63,0.002326196440449735,0.22656533124400252,finite,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
allen_cahn_76,allen_cahn,True,0.0005481072286209614,True,Q1_bound_pass_truth_pass,numerical_tolerance_met,83,0.004474441225539749,0.6499634977697164,finite,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
allen_cahn_77,allen_cahn,True,0.0006873851767075928,True,Q1_bound_pass_truth_pass,numerical_tolerance_met,131,0.0031792036315465566,0.04314248339514798,finite,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
allen_cahn_78,allen_cahn,True,0.0005113867640311844,True,Q1_bound_pass_truth_pass,numerical_tolerance_met,43,0.0024519563993408156,0.3305120077198422,finite,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
allen_cahn_79,allen_cahn,True,0.0011741618499244125,True,Q1_bound_pass_truth_pass,numerical_tolerance_met,69,0.00407127855504541,0.18880057171628328,finite,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
allen_cahn_80,allen_cahn,True,0.0013890010430303646,True,Q1_bound_pass_truth_pass,numerical_tolerance_met,81,0.005269399612075176,0.18164574403445458,finite,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
allen_cahn_82,allen_cahn,True,0.002021775022430007,True,Q1_bound_pass_truth_pass,numerical_tolerance_met,115,0.011262552815367144,0.45512174290209173,finite,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
allen_cahn_83,allen_cahn,True,0.0005190390877932167,True,Q1_bound_pass_truth_pass,numerical_tolerance_met,103,0.002610099759010609,0.3284802617011876,finite,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
allen_cahn_84,allen_cahn,False,0.003038063768433155,True,Q2_bound_fail_truth_pass,tolerance_not_met,201,0.015976558146164166,278.4097311185864,no_finite_relative_guarantee,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
burgers_55,burgers,True,0.002052906988917119,True,Q1_bound_pass_truth_pass,numerical_tolerance_met,161,0.06212605977771091,1.6264084334745883,finite,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
burgers_56,burgers,False,0.013030634132906276,True,Q2_bound_fail_truth_pass,tolerance_not_met,201,0.6647400951648024,210825.93028505737,no_finite_relative_guarantee,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
burgers_58,burgers,False,0.0018357817135247426,True,Q2_bound_fail_truth_pass,tolerance_not_met,201,0.047579766225226194,132.35562475346742,no_finite_relative_guarantee,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
burgers_59,burgers,False,0.015955899206691247,True,Q2_bound_fail_truth_pass,tolerance_not_met,201,0.535287589145014,396.7369271265737,no_finite_relative_guarantee,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
burgers_60,burgers,False,0.0005824522966216388,True,Q2_bound_fail_truth_pass,tolerance_not_met,201,0.025634068252429643,14.607197851030822,finite,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
burgers_62,burgers,False,0.003942518079010812,True,Q2_bound_fail_truth_pass,tolerance_not_met,201,0.08835615966415844,11899.138152926173,no_finite_relative_guarantee,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
burgers_64,burgers,False,0.010783008571148747,True,Q2_bound_fail_truth_pass,tolerance_not_met,201,0.4418361798274191,86.79412453919565,no_finite_relative_guarantee,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
burgers_65,burgers,False,0.0054009670601138085,True,Q2_bound_fail_truth_pass,tolerance_not_met,201,0.12649600900510904,39.55905317612567,no_finite_relative_guarantee,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
burgers_66,burgers,False,0.007492382363737734,True,Q2_bound_fail_truth_pass,tolerance_not_met,201,0.20849844242673043,23.54710696556027,finite,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
burgers_67,burgers,False,0.035850061847015814,True,Q2_bound_fail_truth_pass,tolerance_not_met,201,1.23348327528538,463821.68560570985,no_finite_relative_guarantee,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
burgers_68,burgers,False,0.001250033970381995,True,Q2_bound_fail_truth_pass,tolerance_not_met,201,0.02815480433241646,3268.4992637279324,no_finite_relative_guarantee,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
burgers_69,burgers,False,0.005871867528442341,True,Q2_bound_fail_truth_pass,tolerance_not_met,201,0.1313438687049029,49.59738081834939,no_finite_relative_guarantee,dense_eigh_with_numerical_margin,numerical_bound_estimate,True,False,U/(f-U) for the estimate; E/(||F_*||+1e-8) for post-hoc truth
